"","lsam","linc","educ","cacc","sacc","hous","life","occ"
"15808",11.5134253400119,14.1303577934887,16,3,2,3,1,6
"15809",11.5134253400119,14.1082174846638,16,3,2,3,1,6
"15810",11.5134253400119,14.1448502756829,16,3,2,3,1,6
"15811",4.00733318523247,10.8789901440421,12,2,2,4,1,3
"15812",4.0943445622221,10.8789901440421,12,2,2,4,1,3
"15813",4.00733318523247,10.8789901440421,12,2,2,4,1,3
"15814",4.00733318523247,10.8789901440421,12,2,2,4,1,3
"15815",4.0943445622221,10.8789901440421,12,2,2,4,1,3
"15816",11.5134253400119,11.5134253400119,16,2,2,3,1,5
"15817",11.5134253400119,11.5134253400119,16,2,2,3,1,5
"15818",11.5134253400119,11.5134253400119,16,2,2,3,1,5
"15819",11.5134253400119,11.5134253400119,16,2,2,3,1,5
"15820",11.5134253400119,11.5134253400119,16,2,2,3,1,5
"15821",3.91202300542815,10.1677730471815,10,1,1,2,2,3
"15822",3.91202300542815,10.2054422842746,10,1,1,2,2,3
"15823",3.91202300542815,10.1677730471815,10,1,1,2,2,3
"15824",3.91202300542815,10.2054422842746,10,1,1,2,2,3
"15825",3.91202300542815,10.1677730471815,10,1,1,2,2,3
"15826",11.9187238508685,12.6762325125701,16,2,3,3,2,5
"15827",11.9187238508685,12.6762325125701,16,2,3,3,2,5
"15828",11.9187238508685,12.6762325125701,16,2,3,3,2,5
"15829",11.9187238508685,12.6762325125701,16,2,3,3,2,5
"15830",11.9187238508685,12.6762325125701,16,2,3,3,2,5
"15831",9.21532791348722,12.4492148833511,17,2,2,3,1,6
"15832",9.21532791348722,12.4492148833511,17,2,2,3,1,6
"15833",9.21532791348722,12.4492148833511,17,2,2,3,1,6
"15834",9.21532791348722,12.4492148833511,17,2,2,3,1,6
"15835",9.21532791348722,12.4492148833511,17,2,2,3,1,6
"15836",8.5271435222694,11.983241545398,17,2,2,3,1,7
"15837",8.5271435222694,12.0785233245832,17,2,2,3,1,7
"15838",8.5271435222694,12.0320168331533,17,2,2,3,1,7
"15839",8.5271435222694,12.1120366536036,17,2,2,3,1,7
"15840",8.5271435222694,12.100989869077,17,2,2,3,1,7
"15841",5.85793315448346,11.0516833413931,12,3,2,3,1,3
"15842",5.85793315448346,11.0516833413931,12,3,2,3,1,3
"15843",5.85793315448346,11.0516833413931,12,3,2,3,1,3
"15844",5.85793315448346,11.0516833413931,12,3,2,3,1,3
"15845",5.85793315448346,11.0516833413931,12,3,2,3,1,3
"15846",3.91202300542815,10.3106179399634,14,2,1,3,1,7
"15847",3.91202300542815,10.3106179399634,14,2,1,3,1,7
"15848",3.91202300542815,10.3106179399634,14,2,1,3,1,7
"15849",3.91202300542815,10.3106179399634,14,2,1,3,1,7
"15850",3.91202300542815,10.3106179399634,14,2,1,3,1,7
"15851",3.91202300542815,10.4645308924627,12,3,1,3,2,4
"15852",3.91202300542815,10.4645308924627,12,3,1,3,2,4
"15853",3.91202300542815,10.4645308924627,12,3,1,3,2,4
"15854",3.91202300542815,10.4645308924627,12,3,1,3,2,4
"15855",3.91202300542815,10.4645308924627,12,3,1,3,2,4
"15856",3.91202300542815,9.05368656193081,17,2,1,4,1,5
"15857",3.91202300542815,9.05368656193081,17,2,1,4,1,5
"15858",3.91202300542815,9.05368656193081,17,2,1,4,1,5
"15859",3.91202300542815,9.05368656193081,17,2,1,4,1,5
"15860",3.91202300542815,9.05368656193081,17,2,1,4,1,5
"15861",3.91202300542815,17.1516377216076,17,2,1,3,1,6
"15862",3.91202300542815,17.1551888553977,17,2,1,3,1,6
"15863",3.91202300542815,17.1516377216076,17,2,1,3,1,6
"15864",3.91202300542815,17.1516377216076,17,2,1,3,1,6
"15865",3.91202300542815,17.1516377216076,17,2,1,3,1,6
"15866",8.5271435222694,12.0898196887059,16,5,5,3,1,6
"15867",8.5271435222694,12.0898196887059,16,5,5,3,1,6
"15868",8.5271435222694,12.0841874575401,16,5,5,3,1,6
"15869",8.5271435222694,12.0898196887059,16,5,5,3,1,6
"15870",8.5271435222694,12.0898196887059,16,5,5,3,1,6
"15871",11.5134253400119,11.983241545398,16,4,2,3,1,6
"15872",11.5134253400119,11.983241545398,16,4,2,3,1,6
"15873",11.5134253400119,11.983241545398,16,4,2,3,1,6
"15874",11.5134253400119,11.983241545398,16,4,2,3,1,6
"15875",11.5134253400119,11.983241545398,16,4,2,3,1,6
"15876",3.91202300542815,10.9159971421508,12,3,1,3,1,6
"15877",3.91202300542815,11.0029328275081,12,3,1,3,1,6
"15878",3.91202300542815,10.8207777847434,12,3,1,3,1,6
"15879",3.91202300542815,11.2124958196959,12,3,1,3,1,6
"15880",3.91202300542815,10.9159971421508,12,3,1,3,1,6
"15881",4.49980967033027,11.4191640851558,11,1,2,4,1,3
"15882",4.70048036579242,11.4191640851558,11,1,2,4,1,3
"15883",4.70048036579242,11.3271981150414,11,1,2,4,1,3
"15884",4.49980967033027,11.4191640851558,11,1,2,4,1,3
"15885",4.70048036579242,11.3028215271638,11,1,2,4,1,3
"15886",3.91202300542815,13.3693015772843,17,2,1,3,1,6
"15887",3.91202300542815,13.3693015772843,17,2,1,3,1,6
"15888",3.91202300542815,13.3693015772843,17,2,1,3,1,6
"15889",3.91202300542815,13.3693015772843,17,2,1,3,1,6
"15890",3.91202300542815,13.3693015772843,17,2,1,3,1,6
"15891",8.11671562481911,11.0029328275081,14,3,2,3,1,3
"15892",8.62155320674048,11.0029328275081,14,3,2,3,1,3
"15893",8.84649693855884,11.0029328275081,14,3,2,3,1,3
"15894",7.34601020991329,11.0029328275081,14,3,2,3,1,3
"15895",9.85482238055485,11.0029328275081,14,3,2,3,1,3
"15896",6.74523634948436,9.61913327017702,12,1,2,4,1,5
"15897",6.74523634948436,9.61913327017702,12,1,2,4,1,5
"15898",6.74523634948436,9.3968199389188,12,1,2,4,1,5
"15899",6.74523634948436,9.3968199389188,12,1,2,4,1,5
"15900",6.74523634948436,9.61913327017702,12,1,2,4,1,5
"15901",3.91202300542815,13.910866191281,16,5,1,3,2,6
"15902",3.91202300542815,13.910866191281,16,5,1,3,2,6
"15903",3.91202300542815,13.910866191281,16,5,1,3,2,6
"15904",3.91202300542815,13.910866191281,16,5,1,3,2,6
"15905",3.91202300542815,13.910866191281,16,5,1,3,2,6
"15906",3.91202300542815,12.037949808136,16,3,1,3,1,6
"15907",3.91202300542815,12.037949808136,16,3,1,3,1,6
"15908",3.91202300542815,12.037949808136,16,3,1,3,1,6
"15909",3.91202300542815,12.037949808136,16,3,1,3,1,6
"15910",3.91202300542815,12.037949808136,16,3,1,3,1,6
"15911",3.91202300542815,12.0200442268049,14,3,1,3,1,7
"15912",3.91202300542815,12.0140037372813,14,3,1,3,1,7
"15913",3.91202300542815,12.0140037372813,14,3,1,3,1,7
"15914",3.91202300542815,12.3802360146227,14,3,1,3,1,7
"15915",3.91202300542815,12.1655110337741,14,3,1,3,1,7
"15916",11.5621917062731,9.47654341275084,11,2,2,3,2,7
"15917",9.0300168178449,9.47654341275084,11,2,2,3,2,7
"15918",8.40065937516029,9.47654341275084,11,2,2,3,2,7
"15919",7.88231491898027,9.47654341275084,11,2,2,3,2,7
"15920",10.9516833552902,9.47654341275084,11,2,2,3,2,7
"15921",8.86078289580631,11.2522098407483,16,3,2,3,1,6
"15922",8.86078289580631,11.2259098370616,16,3,2,3,1,6
"15923",8.86078289580631,11.2778358426376,16,3,2,3,1,6
"15924",8.86078289580631,11.3271981150414,16,3,2,3,1,6
"15925",8.86078289580631,11.2391462976874,16,3,2,3,1,6
"15926",11.9187238508685,15.4349087021926,16,3,2,6,1,5
"15927",11.9187238508685,15.4349087021926,16,3,2,6,1,5
"15928",11.9187238508685,15.4349087021926,16,3,2,6,1,5
"15929",11.9187238508685,15.4349087021926,16,3,2,6,1,5
"15930",11.9187238508685,15.4349087021926,16,3,2,6,1,5
"15931",9.21532791348722,12.4294161768471,12,2,2,3,1,6
"15932",9.21532791348722,12.4294161768471,12,2,2,3,1,6
"15933",9.21532791348722,12.4294161768471,12,2,2,3,1,6
"15934",9.21532791348722,12.4294161768471,12,2,2,3,1,6
"15935",9.21532791348722,12.4294161768471,12,2,2,3,1,6
"15936",5.48063892334199,10.1677730471815,12,2,3,4,1,2
"15937",5.07517381523383,10.2767737622801,12,2,3,4,1,2
"15938",6.25382881157547,10.6930806313643,12,2,3,4,1,2
"15939",5.82894561761021,10.1677730471815,12,2,3,4,1,2
"15940",5.07517381523383,10.2417439109508,12,2,3,4,1,2
"15941",3.91202300542815,12.3927596598338,16,2,1,3,1,6
"15942",3.91202300542815,12.3373201821398,16,2,1,3,1,6
"15943",3.91202300542815,12.3927596598338,16,2,1,3,1,6
"15944",3.91202300542815,12.3802360146227,16,2,1,3,1,6
"15945",3.91202300542815,12.2455337144111,16,2,1,3,1,6
"15946",5.01063529409626,11.1425861588374,11,2,2,2,1,5
"15947",5.01063529409626,11.1425861588374,11,2,2,2,1,5
"15948",5.01063529409626,11.1425861588374,11,2,2,2,1,5
"15949",5.01063529409626,11.1425861588374,11,2,2,2,1,5
"15950",5.01063529409626,11.1425861588374,11,2,2,2,1,5
